Acanthus,Almond,Abajo,abelia,beak,can,Abelia,abbottiae,neomexicanus,andrewsii,americana
Adder's-tongue,Cherry,abata,abobe,agoseris,beard,cueva,Abelmoschus,abitibiana,roetteri,bonnevillensis,quadrangulata,amphigena
Aloe,family,abelia,abrothallus,agrimony,bedstraw,cushion,Abies,acadiensis,cellulosa,medium,andina
Amaranth,Fern,Abert's,absconditella,airplant,belfry,gallina,Abietinella,acutiflora,sukaczewii,angustifolia
Araucaria,Gooseberry,abietenella,absonditella,albizzia,Bethlehem,hyssop,Abildgaardia,aequalis,aberrans,anserinum
Arum,Hat,abietinella,abutilon,alsinidendron,bindweed,lily,Abroma,aestivaliformis,abietinum,arcticus
Aster,Mangrove,aboriginal,acalypha,alsophila,brodiaea,mallow,Abronia,ajoensis,ablata,arcuifolia
Azolla,Mistletoe,Abrams',acanthus,amole,buckwheat,mariposa,Abrothallus,alaskanum,abortiva,arenaria
Balanophora,moss,abrothallus,acaulon,and,bush,Mary,Abrus,alata,abramsii,argentea
Banana,o'clock,abruptbeak,ackee,andreaeobryum,cabbage,mistletoe,Absconditella,algonquinensis,abrotanifolia,aspera
Barbados,Pipe,abrus,aconite,anemone,cactus,monkeyflower,Abutilon,alnea,absinthifolia,beeringianum
Barberry,Primrose,absconditella,acriopsis,angel,centaury,moss,Acacia,alpestris,absus,bernardina
Basella,Rush,absinthium,acroporium,angelica,cholla,orchid,Acaciella,alternifolium,abyssinicus,berryi
Bayberry,Tassel,Abyssinia,adenosma,apple,clover,paintbrush,Acaena,ambigua,acadiensis,bifida
Beech,Yew,Abyssinian,aenium,arnica,columbine,primrose,Acalypha,ananassa,acanthocarpa,bigelovii
Begonia,acacia,aeonium,arrowroot,comb,ramon,Acamptopappus,andrewsii,acaulis,borealis
Bellflower,Acadia,aerva,arum,Cruz,rue,Acanthocereus,anomala,accidens,callianthemus
Birch,acaena,African,aster,cryptantha,sierra,Acanthomintha,antipolitensis,achillaeoides,caput-medusae
Birthwort,acanthus,African-queen,ayenia,cueva,valley,Acanthospermum,aptera,achilleifolia,ceruminosa
Bittersweet,Acapulco,after,balm,de,weed,Acanthus,arctophila,acicularis,chamissonis
Borage,acaulon,afzelia,balsam,dodder,Acarospora,arcuatus,acrispum,dawsonii
,stoloniferous,olsenii,
,stonecrop,olympicum,
,stoneroot,omalophylla,
,stonewood,oneidense,
,stopper,onerosus,
,storehousebush,oniciformis,
,stork's,onobrychis,
,storm,ontariense,
,straggler,onusta,
,straight,oocalycis,
,strap,oocarpus,
,strapfern,oophorus,
,strapwort,opaca,
,straw,opalus,
,strawberry,ophiochilus,
,strawcolored,ophira,
,strawflower,ophitidis,
,streaked,ophiuroides,
,stream,ophthalmica,
,stream-bed,ophthalmoides,
,streambank,oplismenoides,
,streamside,opobalsamum,
,stretchberry,oppositifolia,
,striated,opulens,
,strigose,opulifolium,
,striped,oraria,
,strongbark,orbicularicordatum,
,stunted,orbicularis,
,sturdy,orbiculata,
,Sturt's,orbiculatus,
,subalpine,orbifolia,
,subarctic,orbilliferum,
,submersed,orcadensis,
,succulent,orchioides,
,Suckley's,orcuttiana,
,Sudan,orcuttianus,
,suffrutescent,orcuttii,
,sugar,ordii,
,sugarberry,oreades,
,sugargum,oregana,
,sugarstick,oreganum,
,Suisun,oreganus,
,Suksdorf's,oregona,
,Sullivant's,oregonense,
,sulphur,oregonensis,
,sulphur-flower,oregonum,
,summer,oreibata,
,summergrass,oreicola,
,sumpweed,oreina,
,sun,orellana,
,sunbonnetts,oreocharis,
,suncup,oreophilus,
,sundew,oresbia,
,sundrops,orestera,
,sunn,orgadophila,
,Sunnyside,organensis,
,sunray,organorum,
,supple,orientale,
,supplejack,orientalis,
,surf,origanoides,
,Surinam,orixensis,
,Surinamese,orizabense,
,Susanville,ormostachya,
,Sutherland,ornata,
,Sutherland's,ornatissima,
,Suzuki's,ornatum,
,Svenson's,ornithopoda,
,Swallen's,ornithopodioides,
,swallow-wort,ornithorhynchum,
,swamp,ornus,
,swamp-oak,oroarctica,
,swamp-redwood,oronensis,
,swampforest,orthocarpa,
,swamplily,orthoceras,
,swampmahogany,oryzoides,
,swampprivet,osmundioides,
,swampwort,osoensis,
,Swan's,ostenfeldii,
,swanflower,osterhoutii,
,Swartz's,ostlundii,
,sweet,ostryifolia,
,sweet-Nancy,oswaldii,
,sweetbush,otayensis,
,sweetflag,oteroi,
,sweetflower,otrubae,
,sweetjuice,ouachitana,
,sweetpepperbush,ouachitensis,
,sweetpitted,ovale,
,sweetpotato,ovalifolia,
,sweetroot,ovalifolium,
,sweetscented,ovalifolius,
,sweetshrub,ovalis,
,sweetsultan,ovata,
,sweetwater,ovatifolia,
,sweetwilliam,ovatum,
,swinecress,ovatus,
,switchcane,overi,
,swollen,ovina,
,sword,ovinus,
,sycamore,ovularis,
,Sydney,owanii,
,Syrian,ownbeyi,
,Syrian-privet,oxfordensis,
,Szechuan,oxyacanthus,
,Szowits',oxybapha,
,tabardillo,oxycedrus,
,tachibana,oxycladon,
,tackstem,oxygona,
,Tacoma,oxylepis,
,tagasaste,oxylobula,
,Tahitian,oxymitra,
,Tahoe,oxyodon,
,tail,oxyodontus,
,tailed,oxypetalum,
,taique,oxyphilum,
,Takeuch's,oxyphyllum,
,talayote,oxyphyllus,
,talh,oxyphysus,
,tall,ozarkana,
,Tallahassee,pabulare,
,tallerack,pachnidisca,
,Tallul,pachyacantha,
,talus,pachycarpa,
,tamarind,pachycaulis,
,Tamaulipas,pachyceras,
,Tampa,pachycladodes,
,tamujo,pachyloma,
,tangelo,pachyospora,
,tangerine,pachyphylla,
,tangor,pachypoda,
,Tanners,pachypus,
,tansy,pachyrachis,
,tansyleaf,pachyrrhizum,
,tansymustard,pachystachya,
,tapered,pachystigma,
,taperfruit,pachystyla,
,tapertip,pachystylis,
,tapeworm-plant,pacifica,
,taproot,pacificum,
,tara,pacificus,
,tarheel,packardiae,
,taro,padronii,
,tarragon,paeninsulae,
,Tartary,paeoniifolius,
,tarweed,pajaroensis,
,tarwort,palaeformis,
,Tasmanian,palaestinum,
,tasselflower,palanderiana,
,tatarian,palaoense,
,Tausch's,palauana,
,tawny,palauense,
,Taylor's,palauensis,
,tea,palawense,
,teal,palawensis,
,teasel,paleacea,
,Tecopa,paleata,
,teddybear,palestinum,
,teff,paliku,
,Tehachapi,palisotii,
,Tejon,pallasii,
,telegraph-plant,pallens,
,telephus,pallescens,
,Telescope,pallida,
,Temblor,pallidicaule,
,tenangle,pallidicolor,
,tender,pallidiflora,
,Tenerife,pallidiflorum,
,tenlobe,pallidifolia,
,Tennessee,pallidinervis,
,tenpetal,pallidisetum,
,Tenterfield,pallidula,
,tequila,pallidum,
,Terlingua,pallidus,
,ternate,palmata,
,terrestrial,palmatifida,
,teta,palmatum,
,Texan,palmatus,
,Texas,palmensis,
,Texasplume,palmeri,
,textile,palmeriana,
,thalia,palmerianum,
,Tharp's,palmicola,
,The,palmulacea,
,Thermal,palmulata,
,thicket,paludicola,
,thickfoot,paludigena,
,thickhead,paludosa,
,thickleaf,palumbis,
,thickpod,palustre,
,thickroot,palustris,
,thicksepal,pammellii,
,thickspike,panaeola,
,thickstem,panamintense,
,Thiers',panamintensis,
,thimble,panda,
,thin-leaf,pandurata,
,thin-stem,panguicense,
,thinfruit,panicea,
,thinleaf,paniculata,
,thinpetal,paniculatum,
,thinstem,paniculatus,
,thistle,pannonica,
,thistleleaf,pannonicus,
,Thomas',pannosus,
,Thompkins',pansa,
,Thompson's,papastillii,
,Thomson's,papaver,
,thorn,papaya,
,thorn-mint,papilio,
,Thornber's,papillata,
,Thorne's,papillosa,
,thorny,papillosus,
,thoroughwort,papillulifera,
,thread,pappophoroides,
,threadleaf,papposa,
,threadstalk,papuana,
,threadstem,papyrifera,
,three-angle,papyrocarpa,
,three-awned,papyrus,
,three-way,parachinensis,
,threeawn,paradisa,
,threeblossom,paradoxa,
,threebract,paradoxum,
,threecorner,paradoxus,
,threecornerjack,paraguariensis,
,threeflower,paralias,
,threefork,parallela,
,threeleaf,parasitica,
,threelobe,pardalianches,
,threelocule,pardalinus,
,threenerve,pareira,
,threepetal,parellaria,
,threeseed,parishii,
,threeseeded,parisiense,
,threespike,parkeri,
,threestamen,parkinsonianum,
,threetip,parksii,
,thrift,parlinii,
,Thule,parmeliarum,
,Thunberg's,paronychioides,
,Thurber's,parqui,
,Thurow's,parramattensis,
,thymeleaf,parryana,
,ti,parryi,
,Tibet,parryoides,
,Tibetan,parsonsia,
,tibey,particularis,
,tibig,parviflora,
,Tiburon,parviflorum,
,tick,parviflorus,
,tickseed,parvifolia,
,ticktrefoil,parvifolium,
,tidal,parvifolius,
,tidalmarsh,parvipinnula,
,Tidestrom's,parvispora,
,Tiehm's,parvula,
,tietongue,parvulum,
,tiger,parvulus,
,tiger's,parvum,
,Tilesius',pasacana,
,tilol,paspaloides,
,timber,passerinum,
,timberline,passeyi,
,Timor,patagonicus,
,tinged,patellarioides,
,tingiringi,patellaris,
,tinted,patellifera,
,tiny,patellulata,
,tinygland,patens,
,tinypetal,patentifiliforme,
,tinytim,patriotica,
,Tioga,pattersonii,
,tiplant,patula,
,tissue,patulifolia,
,tissueleaf,paucicapitatus,
,titi,pauciflora,
,to-tsubaki,pauciflorula,
,Toano,pauciflorum,
,toddy,pauciflorus,
,toetoe,pauciflosculosa,
,Toiyabe,paucifructa,
,Tolmie,paucinervis,
,Tolmie's,pauciradiata,
,Tolmin's,pauletia,
,Tolstead's,paulina,
,tomentose,paupera,
,tongavine,paupercula,
,Tonglet's,pauperculus,
,tonguefern,pauzhetica,
,tonka,pavia,
,Tonkin,pavonina,
,Tonopah,paysonii,
,Tonto,paysonis,
,toothache,pearsonii,
,toothed,pechoensis,
,toothleaf,peckiana,
,toothpickweed,peckii,
,top,pectinacea,
,Topeka,pectinata,
,Toquima,pectinatus,
,torch-ginger,pedata,
,torchwood,pedatifida,
,toria,pedatinervium,
,Torrey,pedatum,
,Torrey's,pedemontana,
,tortured,pedicellata,
,toughleaf,pedicellatum,
,Toumey's,pedicularia,
,touristplant,pediculifera,
,tower,peduncularis,
,Tozer's,pedunculata,
,Tracy's,pedunculosa,
,trailing,pedunculosum,
,trailplant,peeblesii,
,trampweed,peirsonii,
,Trans-Pecos,pekinense,
,transcend,peleana,
,transmontane,pelecinus,
,transparent,pelewense,
,Transvaal,pelinophilum,
,Trask's,peliophylla,
,Traub's,peliscypha,
,traveler's,pellita,
,traveler's-joy,pellucida,
,treadsoftly,pellucidum,
,treasure-flower,pellucidus,
,treasureflower,pellucinerve,
,tree,pelobotryon,
,treebine,pelocarpa,
,treefern,pelodella,
,treetrunk,peltastica,
,Trelease's,peltata,
,triangle,peltatum,
,triangleleaf,peltigerina,
,trianglelobe,pendletonensis,
,triangularfruit,pendula,
,tricolor,penduliflora,
,trident,penduliflorus,
,Trinidad,pendulina,
,Trinity,pendulum,
,triplerib,penichrum,
,tripod,peninsulare,
,trivial,peninsularis,
,trojan,penita,
,tronchuda,penlandii,
,tropic,pennatiformis,
,tropical,pennatula,
,troubled,pennelliana,
,troublesome,pennellii,
,Trout,penninervis,
,Truckee,pennsylvanica,
,True's,pennula,
,Trujillo,penstemonoides,
,trumpet,pensylvanica,
,trumpetflower,pensylvanicum,
,trumpets,pentactis,
,trumpetweed,pentadactylon,
,Trypethel's,pentagona,
,tuart,pentagyna,
,tuba,pentalophus,
,tubeflower,pentandra,
,tuber,pentapetalum,
,tubercle,pentaphylla,
,tubercled,pentaphyllum,
,tuberous,pentaphyllus,
,tubular,pentaschista,
,Tucker's,peplidion,
,Tuckerman's,peploides,
,Tucson,peplus,
,tufted,pepo,
,Tulare,pequotorum,
,tumble,perdentata,
,tumbledown,perdulce,
,tumbling,peregrina,
,tuna,peregrinus,
,tundra,perennans,
,tundragrass,perennis,
,Tununk,perfoliata,
,Tuolumne,perfoliatum,
,turban,perforata,
,turgid,perfragilis,
,turk's,pergamena,
,turkey,pergamentacea,
,turkeypeas,pergibbosa,
,Turkish,perglobosa,
,Turner,perianus,
,Turner's,periens,
,turnip-root,peristenia,
,turpentine,perjucunda,
,Turpin's,perlomera,
,turtlefat,perminuta,
,turtlehead,permiscens,
,turtleweed,permolle,
,Tushar,pernambucanus,
,tusilla,perobtusus,
,tussock,perofskianum,
,Tutwiler's,perplexa,
,Tweedy's,perplexans,
,twin,perplexum,
,twinbugs,perpusilla,
,twincrest,perpusillus,
,twinevine,perradiata,
,twining,perriniana,
,twinleaf,perryi,
,twinsorus,persicifolia,
,Twisselmann's,persicum,
,twist-stem,persicus,
,twisted,persimilis,
,two-color,persistens,
,two-horn,perspinulosa,
,two-tone,perstellata,
,two-vein-hickory,pertusa,
,twocolor,pertusariicola,
,twocrested,peruviana,
,twoflower,perviridis,
,twogrooved,petasata,
,twoheaded,petersenii,
,twoleaf,petersiana,
,twoline,petiolaris,
,twolobe,petiolata,
,tworank,petiolatum,
,twoscale,petraea,
,twospike,petricosa,
,twotipped,petrolepideum,
,twotooth,petrophila,
,Tygh,petrophilus,
,Tyrol,peyritschii,
,udo,peziziformis,
,uhiuhi,phacodes,
,Uinta,phaenopyrum,
,uki'uki,phaeobaea,
,ulmo,phaeocarpella,
,Uloth's,phaeocephala,
,uluhe,phaeolepis,
,ulunahele,phaeospermum,
,umbel,phaeothrix,
,umber,pharnaceoides,
,umbrella,pharnacioides,
,umbrella-sedge,phascoides,
,umbrellagrass,phaseoloides,
,umbrellaleaf,phellomanus,
,Umpqua,philadelphicus,
,unarmed,philippense,
,Underwood's,philippensis,
,undulate,philippiana,
,unequal,philippinensis,
,unexpected,phillipsiana,
,uniola,phillyreoides,
,Unshu,philoxeroides,
,upland,phippsii,
,upright,phleoides,
,uralanguis,phoenicea,
,urban,phoeniceum,
,Urban's,phoeniceus,
,urceolate,phoenicoides,
,urn,phoenix,
,urnplant,phrygia,
,Uruguayan,phyllacantha,
,Utah,phyllanthoides,
,uvera,phyllanthus,
,uvero,phyllitidis,
,uvilla,phyllophora,
,Vahl's,phyllopogon,
,Vail,phyllostegia,
,valley,physciicola,
,Van,physocarpa,
,Vancouver,phyteumae,
,Vanderbilt's,pickeringii,
,vanillaleaf,picta,
,variable,pictiformis,
,variable-leaf,pictum,
,variableleaf,picturata,
,variegated,piedmontensis,
,varigated,pigra,
,varioushair,pikei,
,variousleaf,pilati,
,varital,pileata,
,Vasek's,pilifer,
,vasevine,piliferum,
,Vasey's,pilligaensis,
,Veatch's,pilosa,
,vega,pilosellifolius,
,vegetable,pilosilemma,
,veiny,pilosiuscula,
,veldt-grape,pilosula,
,veldtgrass,pilosum,
,velvet,pilosus,
,velvetbells,pilularis,
,velvetleaf,pilulifera,
,velvetweed,pimela,
,Venezuelan,pimpiniana,
,vente,pinastri,
,Venus,pineti,
,Venus',pinetorum,
,Verity's,pinguin,
,vernal,pinguis,
,vernalpool,pinicola,
,veronicaleaf,pinifolia,
,Victoria's,pinifolius,
,Victorin's,pininana,
,victory,pinnata,
,Vierhapper's,pinnatifida,
,Villa,pinnatifidum,
,villalba,pinnatifidus,
,Villalobos's,pinnatisectum,
,villous,pinnatisectus,
,vine,pinnatum,
,violet,pinonis,
,violet-lily,pintoi,
,violet-vein,pinzliae,
,viper,piperi,
,viper's,piperianus,
,virgin,piperita,
,Virginia,piscaticus,
,viscid,piscator,
,Visher's,pisifera,
,Vitt's,pitcheri,
,viviparous,pityophila,
,volantines,piutensis,
,Volcan's,placodiomorpha,
,volcanic,placodizans,
,Volga,placophyllus,
,Volkens's,plagiosperma,
,vomitbush,plagiotoma,
,Vreeland's,plana,
,vulcan,planchoniana,
,Wagner's,planifolius,
,waha,planispicata,
,Wahatoya,planoconvexus,
,wahiawa,planorbis,
,wahini,planostachys,
,Wahlenberg's,planosus,
,Waialeale,plantaginea,
,Waianae,plantaginella,
,Waianaeuka,plantagineum,
,Waihee,plantaginifolia,
,Waihoi,plantaginifolium,
,Waikamoi,plantago-aquatica,
,Waikane,planum,
,Wailai,platanoides,
,Wain's,plattensis,
,Waioiani,platycarpa,
,Waioli,platycarpos,
,Waipio,platycaule,
,wait-a-bit,platycorys,
,Waldo,platygraphidea,
,Walker,platylepis,
,Walker's,platyneuron,
,walking,platypetala,
,walkingstick,platyphylla,
,wall,platyphyllos,
,wallaby,platyphyllum,
,Wallangarra,platypus,
,wallflower,platysperma,
,Wallich's,platyspilea,
,Wallowa,platytropis,
,wallrocket,plectostachyus,
,wallrue,pleiacantha,
,walnut,pleianthum,
,Walpole's,pleianthus,
,Walter's,pleniceps,
,Waltham,pleniradiata,
,wampi,plenissima,
,wand,plenum,
,wandoo,pleurocarpa,
,Ward's,pleurota,
,Ware's,plicata,
,Warm,plicatum,
,Warminster,plicigera,
,Warner,plinthobius,
,Warner's,plocasperma,
,Warnock's,plukenetii,
,wartleaf,plumarius,
,warty,plumatella,
,wartycabbage,plumbaginoides,
,Wasatch,plumbaria,
,washerwoman,plumbea,
,Washington,plumbeum,
,water,plumieri,
,water-starwort,plummerae,
,water-trumpet,plumosa,
,waterbuttons,plumosum,
,Waterer's,pluriflora,
,Waterfall's,pluriflorum,
,watergrass,plurisetosa,
,waterhyssop,pluvialis,
,waterloving,pocillarium,
,watermelon,pocillum,
,waterparsnip,podagraria,
,waterplantain,podalyriifolia,
,waterpurslane,podocarpa,
,watershield,podocarpum,
,watersprite,podocephala,
,Waterton,podolepis,
,waterweed,podosora,
,waterwheel,poecilanthus,
,waterwort,poeltii,
,Watson's,poeppigiana,
,wavy,poeticum,
,wavy-leaved,pogonantha,
,wavyleaf,pogonathera,
,wax,pohaku,
,waxflower,poiretii,
,waxfruit,polaris,
,waxgourd,polifolia,
,waxweed,poliophylla,
,waxy,poliospermus,
,waxydogbane,pollinii,
,waxyfruit,polyacantha,
,wayside,polyacanthus,
,weak,polyandra,
,weak-nerved,polyantha,
,weakleaf,polyanthemos,
,weakstem,polyanthos,
,weather,polyanthum,
,Webber,polyanthus,
,Webber's,polybotrys,
,Weber's,polycarpa,
,wedge,polycarpia,
,wedge-leaf,polycarpoides,
,wedgeleaf,polycarpon,
,wedgescale,polycephala,
,Weed's,polycephalus,
,Weedin's,polychroa,
,weedy,polychroma,
,weeping,polycladon,
,Weigel's,polygama,
,Weiser's,polygamum,
,Welch's,polygonifolia,
,Wells',polygonoides,
,welsh,polygonorum,
,Welsh's,polygramma,
,Wenatchee,polymorpha,
,Wendt's,polymorphus,
,Weniger's,polyodon,
,West,polyphylla,
,western,polyphyllum,
,Weston's,polypodioides,
,Westwater,polypodum,
,wetforest,polysetum,
,Wetherill's,polyspermum,
,wetsoil,polyspora,
,wheat,polystachia,
,wheatgrass,polystachya,
,wheatspike,polystachyos,
,wheel,polystachyus,
,Wheeler's,polytricha,
,wheelscale,pomeridianum,
,whip,pomiformis,
,Whipple,pomonensis,
,Whipple's,ponapeana,
,whiskerbush,ponapense,
,whiskered,ponapensis,
,whisperingbells,ponderosa,
,white,pontica,
,white-ash,ponticus,
,white-mahogany,popei,
,whitebox,populeum,
,whitebristle,populifolia,
,whitebrush,populnea,
,whitebuttons,populneum,
,whitecolumn,populorum,
,Whited's,porcii,
,whiteedge,porophylloides,
,whitefelt,porophyllum,
,whiteflower,poroscypha,
,whitefoot,porphyrocarpa,
,whitehair,porphyrospoda,
,whitehead,porrecta,
,whitejacket,porrectus,
,whiteleaf,porrigens,
,whitemargin,porrum,
,whitemouth,porsildii,
,whiteray,portentosa,
,whitescale,porteri,
,whitesnow,porteriana,
,whitespine,portoricensis,
,whitespot,poscharskyana,
,whitestem,poselgeri,
,whitetassels,potentilloides,
,whitethorn,potosina,
,whitethroat,pottsii,
,whitetinge,powellii,
,whitetop,praealta,
,whitetop-box,praeceptorum,
,whitewash,praecox,
,whiteweed,praegracilis,
,whitewood,praehensilis,
,whitewoolly,praelongum,
,whitish,praelongus,
,Whitney's,praeruptorum,
,wholeleaf,praeruptus,
,whorled,praesignis,
,whorlgrass,praeteriens,
,wickerstem,praeterita,
,widefruit,praetermissa,
,wideleaf,prairea,
,widewing,prasina,
,widow's,prasinum,
,Wiebke's,pratense,
,Wiegand's,pratensis,
,Wieslander's,pratericola,
,wig,praticola,
,Wiggins',prattenianum,
,Wilcox's,prava,
,wild,pravissima,
,wildginger,precatorius,
,wildhops,preissiana,
,wildrye,preissii,
,wili,premnea,
,Wilkes',prenanthoides,
,Wilkins',presliana,
,Willamette,preslii,
,Willdenow's,preussii,
,Willey's,priceana,
,Williams',prieurii,
,willow,primulifolia,
,willowherb,primulinus,
,willowleaf,pringlei,
,Wilman,prionitis,
,Wilson's,prismatica,
,Wind,procera,
,Windham's,prociduum,
,winding,procumbens,
,windmill,procurrens,
,windmills,prodiens,
,windyridge,producta,
,wine-colored,profuga,
,winecup,profunda,
,wineflower,profusum,
,winged,proimanthus,
,wingedseed,projecta,
,wingfruit,prolifer,
,wingnut,prolifera,
,wingstem,proliferum,
,Winkler's,prolifica,
,Winn,prolixa,
,winter,prolixus,
,Winter's,prominens,
,winterberry,prona,
,wintergreen,prophetarum,
,wire,propinqua,
,wiregrass,propinquus,
,wirestem,proposita,
,Wirtgen's,propria,
,wiry,propullans,
,Wisley,prorepens,
,witch's,proselyticus,
,witchalder,proserpinacoides,
,withe,prostrata,
,withering,prostratum,
,Wittmann's,prostratus,
,Wolf's,protrusa,
,wolfsbane,proximata,
,woman's,proximus,
,wombat,pruinascens,
,wonderful,pruinata,
,wood,pruinosa,
,Wood's,pruinosella,
,Woodbury's,pruinosula,
,woodfern,prunastri,
,woodland,prunifera,
,woodoats,psammophila,
,woodreed,pseudarmeria,
,woodruff,pseudiodanthus,
,Woodruff's,pseudoacrotricha,
,woodrush,pseudocampanulata,
,Woodside,pseudocapillare,
,woodvamp,pseudocapillaris,
,woody,pseudocyperus,
,woodypod,pseudodalmatica,
,woodyroot,pseudodanthoniae,
,wool,pseudoerectum,
,woolflower,pseudoevansii,
,woolly,pseudofrigida,
,woollybutt,pseudofuscescens,
,woollycup,pseudolaevipes,
,woollyfruit,pseudoliatris,
,woollygrass,pseudopectinatus,
,woollyhead,pseudophragmites,
,woollyleaf,pseudopilosa,
,woollypod,pseudopinnatum,
,woollysheath,pseudoplatanus,
,woollystar,pseudopsidium,
,woolyleaf,pseudoramosum,
,woolyspike,pseudosarmentosus,
,Wooton's,pseudosatoanum,
,wormseed,pseudothyrsiflorus,
,Wormskjold's,pseudotriquetrum,
,wretched,pseudovegetus,
,Wright's,pseudovina,
,wrightwort,pseudovivipara,
,wrinkled,psilocarpum,
,wrinkleseed,psilophyllum,
,wrinklewing,psilostachya,
,wyalong,psittacina,
,Wydler's,psoromica,
,Wyman,psoromoides,
,Wyoming,ptarmica,
,Yadon's,pteridoides,
,Yager's,pterocarpa,
,Yakima,pterocarpus,
,Yakutsk,pterocarya,
,yam,pteronioides,
,Yampa,pteropus,
,yankeeweed,pterosperma,
,yapana,pubens,
,yarran,pubentissima,
,yarrow,pubentissimus,
,yate,puberula,
,yauco,puberulenta,
,Yavapai,puberulus,
,ye,puberum,
,yefen,pubescens,
,yellow,pubiflora,
,yellow-box,pubigera,
,yellow-top,pudica,
,yellowflower,pugioniformis,
,yellowfruit,puiggarii,
,yellowhair,pulchella,
,yellowleaf,pulchellum,
,yellowrocket,pulchellus,
,yellowshow,pulcherrima,
,yellowspine,pulcherrimum,
,Yellowstone,pulcherrimus,
,yellowtops,pulchra,
,yellowtuft,pulchrum,
,yellowturbans,pulguerensis,
,yellowwhite,pulicaris,
,yellowwood,pulsiferae,
,yerba,pulveracea,
,Yolla,pulverulenta,
,Yosemite,pulverulentum,
,Yuba,pulverulentus,
,Yucatan,pulvinata,
,yucca,pulvinatum,
,Yukon,pulvinella,
,Yuma,pumicola,
,Yunnan,pumila,
,Zaca,pumilio,
,zacale,pumilum,
,Zahlbruckner's,pumilus,
,zalil,punctata,
,Zanzibar,punctatum,
,zarzabacoa,punctatus,
,zebraplant,punctiformis,
,zedoary,punctilobula,
,zigzag,punctum,
,Zion,pungens,
,zizotes,puniceus,
,Zollinger's,purdyi,
,Zschack's,purissima,
,Zulu,purpurascens,
,Zululand,purpurata,
,Zuni,purpuratus,
,FALSE,purpurea,
,purpurellifolia,
,purpureum,
,purpureus,
,purpurifera,
,purpusii,
,pursaetha,
,purshiana,
,purshii,
,pusaterii,
,pusilla,
,pusillum,
,pusillus,
,pusiola,
,pustulatum,
,putata,
,pycnantha,
,pycnocarpa,
,pycnocarpon,
,pycnocephala,
,pycnocephalus,
,pycnosperma,
,pycnostachyus,
,pycnothrix,
,pygmaea,
,pygmaeum,
,pygmaeus,
,pygmea,
,pyramidale,
,pyramidalis,
,pyramidata,
,pyramidatum,
,pyrenaeus,
,pyrenaica,
,pyrenaicum,
,pyrenopsoides,
,pyriferum,
,pyrifolia,
,pyriformis,
,pyrocarpa,
,pyroliflora,
,pyrolifolium,
,pyrrhula,
,pyrrhuliza,
,pyrularia,
,pyxidata,
,pyxinoides,
,quadrangula,
,quadrangularis,
,quadrangulata,
,quadrata,
,quadricoccum,
,quadricostata,
,quadrifidus,
,quadrifolia,
,quadriloba,
,quadriloculare,
,quadripetala,
,quadriradiata,
,quamash,
,quandrangulata,
,quanzensis,
,quartzitica,
,quassiicola,
,quaternarium,
,quaternata,
,quercetorum,
,quercicola,
,quercifolia,
,quercifolius,
,quercinum,
,quila,
,quinata,
,quinaultense,
,quinoa,
,quinquangularis,
,quinquedentata,
,quinqueflora,
,quinquefolia,
,quinqueloba,
,quintaria,
,quitense,
,quornensis,
,quoyana,
,racemiflora,
,racemiflorus,
,racemosa,
,racemosum,
,racemosus,
,raddianum,
,radfordiana,
,radfordii,
,radians,
,radiata,
,radiatum,
,radiatus,
,radicale,
,radicans,
,radicata,
,radicatus,
,radicosa,
,radiculosum,
,radula,
,radulans,
,radulina,
,rafaelensis,
,raichei,
,raillardioides,
,rainbowensis,
,ramea,
,ramenskii,
,ramiflora,
,ramillosa,
,ramosa,
,ramosissima,
,ramosissimum,
,ramosissimus,
,ramosum,
,ramosus,
,ramulosa,
,randii,
,rangiferina,
,rankinii,
,ranunculoides,
,rapa,
,rappii,
,rapunculoides,
,rapunculus,
,rariflora,
,ratisbonensis,
,rattanii,
,raupii,
,ravenelii,
,ravenii,
,raveretiana,
,ravida,
,rawsoniana,
,raymondii,
,raymundi,
,raynoldsii,
,reagens,
,reburra,
,recensa,
,reclinatum,
,recta,
,rectifructa,
,rectispina,
,rectissima,
,rectum,
,recurva,
,recurvans,
,recurvata,
,recurvatum,
,recurvirostre,
,recurvum,
,recurvus,
,redolens,
,reductus,
,redunca,
,reedii,
,reesei,
,reevesiana,
,reflexa,
,reflexum,
,reflexus,
,refracta,
,refractus,
,refugioensis,
,regalis,
,regeliana,
,regelii,
,regia,
,reginae,
,regismontana,
,regnans,
,regularis,
,rehmanniana,
,rei,
,reichenbachii,
,reineckei,
,reinwardtiana,
,religiosa,
,religiosum,
,religiosus,
,remota,
,remotifolium,
,remotus,
,remyi,
,renacta,
,rendlei,
,renghas,
,reniforme,
,reniformis,
,repanda,
,repandum,
,repens,
,reptans,
,resiliens,
,resima,
,resinifera,
,resiniflua,
,resinosa,
,resinosum,
,resupinata,
,reticulata,
,reticulatum,
,reticulatus,
,retinens,
,retinodes,
,retorta,
,retroflexa,
,retroflexus,
,retrofractus,
,retrorsa,
,retrorsum,
,retrorsus,
,retrovertens,
,retusa,
,retusum,
,reuteri,
,revealii,
,reventiformis,
,reventum,
,reventus,
,reverchonii,
,revoluta,
,revolutum,
,revolutus,
,reznicekii,
,rhabdocarpum,
,rhacoma,
,rhagodioides,
,rhamnifolia,
,rhaptocarpa,
,rhexiifolia,
,rhipidophylla,
,rhizantha,
,rhizomatus,
,rhizomophora,
